Afkomst,Gerecht,Ingrediënten,Wijnsoort,Smaakprofiel,Wijnstijl
Duitsland,Sauerbraten Bayerisch met verse basilicum,"azijn, rundvlees, ui",Riesling,"Zoet, Fris, Aromatisch",Wit
Spanje,Gazpacho Andaluz Tradicional met verse basilicum,"tomaat, knoflook, olijfolie, komkommer",Albariño,"Fris, Aromatisch, Zacht",Wit
Nederland,Zalm met Dillesaus Hollands met truffel,"citroen, dille, zalm",Rosé,"Licht, Fruitig, Fris",Rosé
Frankrijk,Boeuf Bourguignon au Vin met champignons,"rundvlees, ui, rode wijn, wortel",Pinot Noir,"Elegant, Droog, Licht",Rood
Nederland,Asperges met Ham van het Huis met saus,"asperges, ham, boter",Riesling,"Zoet, Fris, Aromatisch",Wit
Spanje,Patatas Bravas Tradicional met roomsaus,"tomaat, aardappel, paprika",Garnacha,"Fruitig, Rond, Zacht",Rood
Spanje,Patatas Bravas Andaluz uit de oven,"paprika, aardappel, tomaat",Garnacha,"Fruitig, Rond, Zacht",Rood
Spanje,Albondigas en Salsa Andaluz met kruiden,"gehaktballetjes, ui, tomatensaus",Tempranillo,"Aards, Vol, Krachtig",Rood
Frankrijk,Entrecôte au Poivre au Vin speciale editie,"peper, room, rundvlees",Syrah,"Krachtig, Kruidig, Stevig",Rood
Italië,Spaghetti alle Vongole Rustico met roomsaus,"knoflook, olijfolie, witte wijn",Pinot Grigio,"Fris, Licht, Droog",Wit
Frankrijk,Cassoulet de Lyon speciale editie,"tomaat, bonen, worst, vlees",Syrah,"Krachtig, Kruidig, Stevig",Rood
Spanje,Patatas Bravas Casera met champignons,"tomaat, aardappel, paprika",Garnacha,"Fruitig, Rond, Zacht",Rood
Frankrijk,Coq au Vin de Lyon met verse basilicum,"champignons, spekjes, ui",Pinot Noir,"Elegant, Droog, Licht",Rood
Spanje,Chorizo al Vino Andaluz met roomsaus,"rode wijn, chorizo, knoflook",Tempranillo,"Aards, Vol, Krachtig",Rood
Italië,Bruschetta al Pomodoro al Forno met truffel,"basilicum, olijfolie, tomaat, stokbrood",Prosecco,"Fris, Mousserend, Licht",Mousserend
Italië,Bruschetta al Pomodoro al Forno met citroen,"tomaat, stokbrood, basilicum, olijfolie",Prosecco,"Fris, Mousserend, Licht",Mousserend
Nederland,Asperges met Ham van het Huis uit de oven,"ham, asperges, boter",Riesling,"Zoet, Fris, Aromatisch",Wit
Frankrijk,Canard à l’Orange au Vin speciale editie,"honing, boter, sinaasappel, eend",Pinot Noir,"Elegant, Droog, Licht",Rood
Frankrijk,Filet de Sole à la Crème uit de oven,"boter, citroen, peterselie, vis",Chardonnay,"Vol, Romig, Droog",Wit
Italië,Fritto Misto Rustico met citroen,"citroen, inktvis, bloem",Prosecco,"Fris, Mousserend, Licht",Mousserend
Duitsland,Forelle Müllerin Hausgemacht met verse basilicum,"citroen, forel, boter",Riesling,"Zoet, Fris, Aromatisch",Wit
Duitsland,Apfelstrudel vom Grill van de chef,"deeg, appel, kaneel",Riesling,"Zoet, Fris, Aromatisch",Wit
Italië,Fritto Misto Classico met citroen,"bloem, inktvis, garnalen",Prosecco,"Fris, Mousserend, Licht",Mousserend
Spanje,Gazpacho Andaluz de la Casa met roomsaus,"knoflook, tomaat, olijfolie",Albariño,"Fris, Aromatisch, Zacht",Wit
Frankrijk,Filet de Sole Régionale met kruiden,"citroen, boter, vis, peterselie",Chardonnay,"Vol, Romig, Droog",Wit
Frankrijk,Cassoulet Maison met kruiden,"bonen, tomaat, worst",Syrah,"Krachtig, Kruidig, Stevig",Rood
Italië,Pasta all’Amatriciana Tradizionale van de chef,"pecorino, ui, peper, guanciale, tomaat",Chianti,"Droog, Kruidig, Vol",Rood
Nederland,Kibbeling Hollands met citroen,"beslag, citroen, witvis",Riesling,"Zoet, Fris, Aromatisch",Wit
Italië,Tiramisu Tradizionale van de chef,"mascarpone, cacao, koffie",Prosecco,"Fris, Mousserend, Licht",Mousserend
Italië,Risotto ai Funghi alla Toscana uit de oven,"rijst, room, boter, paddenstoelen",Pinot Grigio,"Fris, Licht, Droog",Wit
Nederland,Kibbeling met Spekjes met olijven,"citroen, beslag, witvis",Riesling,"Zoet, Fris, Aromatisch",Wit
Duitsland,Bratwurst mit Sauerkraut nach Oma’s Rezept met verse groenten,"worst, zuurkool, aardappel",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Duitsland,Forelle Müllerin nach Oma’s Rezept met truffel,"boter, forel, citroen",Riesling,"Zoet, Fris, Aromatisch",Wit
Nederland,Kibbeling met Spekjes met saus,"citroen, witvis, beslag",Riesling,"Zoet, Fris, Aromatisch",Wit
Spanje,Merluza a la Plancha Tradicional met truffel,"peterselie, heek, citroen",Albariño,"Fris, Aromatisch, Zacht",Wit
Nederland,Kibbeling met Kaas met citroen,"beslag, witvis, citroen",Riesling,"Zoet, Fris, Aromatisch",Wit
Nederland,Haring met Ui van het Huis met truffel,"haring, ui",Riesling,"Zoet, Fris, Aromatisch",Wit
Spanje,Gazpacho Andaluz Catalana met kruiden,"olijfolie, knoflook, tomaat",Albariño,"Fris, Aromatisch, Zacht",Wit
Duitsland,Bratwurst mit Sauerkraut Bayerisch met truffel,"aardappel, worst, zuurkool",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Frankrijk,Boeuf Bourguignon Régionale met champignons,"tijm, ui, wortel, rundvlees",Pinot Noir,"Elegant, Droog, Licht",Rood
Frankrijk,Canard à l’Orange à la Crème met olijven,"sinaasappel, boter, honing",Pinot Noir,"Elegant, Droog, Licht",Rood
Duitsland,Forelle Müllerin Hausgemacht speciale editie,"boter, citroen, forel",Riesling,"Zoet, Fris, Aromatisch",Wit
Nederland,Kibbeling Hollands uit de oven,"beslag, witvis, citroen",Riesling,"Zoet, Fris, Aromatisch",Wit
Italië,Bruschetta al Pomodoro alla Casa van de chef,"stokbrood, olijfolie, tomaat",Prosecco,"Fris, Mousserend, Licht",Mousserend
Italië,Bruschetta al Pomodoro del Mare met kruiden,"basilicum, stokbrood, tomaat, olijfolie",Prosecco,"Fris, Mousserend, Licht",Mousserend
Frankrijk,Filet de Sole Maison met verse groenten,"boter, peterselie, citroen",Chardonnay,"Vol, Romig, Droog",Wit
Duitsland,Forelle Müllerin Hausgemacht met citroen,"boter, forel, citroen",Riesling,"Zoet, Fris, Aromatisch",Wit
Italië,Lasagne alla Bolognese Classico van de chef,"knoflook, gehakt, tomaat, kaas, ui",Chianti,"Droog, Kruidig, Vol",Rood
Frankrijk,Entrecôte au Poivre Provençale uit de oven,"peper, rundvlees, room",Syrah,"Krachtig, Kruidig, Stevig",Rood
Spanje,Gazpacho Andaluz del Mar uit de oven,"olijfolie, knoflook, komkommer",Albariño,"Fris, Aromatisch, Zacht",Wit
Frankrijk,Cassoulet Traditionnel uit de oven,"bonen, vlees, worst, tomaat",Syrah,"Krachtig, Kruidig, Stevig",Rood
Nederland,Kibbeling met Kaas met verse basilicum,"witvis, beslag, citroen",Riesling,"Zoet, Fris, Aromatisch",Wit
Frankrijk,Quiche Lorraine de Lyon met verse basilicum,"spek, eieren, kaas, room",Chardonnay,"Vol, Romig, Droog",Wit
Frankrijk,Filet de Sole de Lyon met verse groenten,"peterselie, citroen, boter, vis",Chardonnay,"Vol, Romig, Droog",Wit
Spanje,Albondigas en Salsa Casera met saus,"tomatensaus, ui, gehaktballetjes",Tempranillo,"Aards, Vol, Krachtig",Rood
Italië,Insalata Caprese alla Casa met olijven,"tomaat, olijfolie, basilicum, mozzarella",Pinot Grigio,"Fris, Licht, Droog",Wit
Nederland,Haring met Ui van het Huis met olijven,"haring, ui",Riesling,"Zoet, Fris, Aromatisch",Wit
Frankrijk,Boeuf Bourguignon à la Crème met verse groenten,"tijm, wortel, rode wijn, ui",Pinot Noir,"Elegant, Droog, Licht",Rood
Frankrijk,Canard à l’Orange à la Crème speciale editie,"sinaasappel, boter, eend",Pinot Noir,"Elegant, Droog, Licht",Rood
Frankrijk,Boeuf Bourguignon Maison met verse groenten,"wortel, tijm, ui, rode wijn",Pinot Noir,"Elegant, Droog, Licht",Rood
Spanje,Patatas Bravas Casera speciale editie,"paprika, tomaat, aardappel",Garnacha,"Fruitig, Rond, Zacht",Rood
Italië,Pasta all’Amatriciana Tradizionale speciale editie,"guanciale, peper, pecorino, ui",Chianti,"Droog, Kruidig, Vol",Rood
Duitsland,Kartoffelsalat nach Oma’s Rezept van de chef,"azijn, ui, aardappel",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Nederland,Kipspies met Paprika van het Huis met olijven,"paprika, kip, ui",Rosé,"Licht, Fruitig, Fris",Rosé
Duitsland,Rinderroulade Bayerisch met olijven,"mosterd, rundvlees, augurk",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Spanje,Tortilla Española del Norte met verse basilicum,"ei, ui, aardappel",Garnacha,"Fruitig, Rond, Zacht",Rood
Nederland,Asperges met Ham Hollands met roomsaus,"boter, ham, asperges",Riesling,"Zoet, Fris, Aromatisch",Wit
Nederland,Pannenkoeken met Appel met Spekjes met saus,"bloem, melk, appel",Rosé,"Licht, Fruitig, Fris",Rosé
Spanje,Patatas Bravas del Norte met roomsaus,"tomaat, aardappel, paprika",Garnacha,"Fruitig, Rond, Zacht",Rood
Nederland,Asperges met Ham met Kaas met verse basilicum,"ham, boter, asperges",Riesling,"Zoet, Fris, Aromatisch",Wit
Duitsland,Forelle Müllerin vom Grill speciale editie,"boter, forel, citroen",Riesling,"Zoet, Fris, Aromatisch",Wit
Frankrijk,Magret de Canard au Vin met truffel,"aardappelgratin, rode wijnsaus, eend",Syrah,"Krachtig, Kruidig, Stevig",Rood
Italië,Lasagne alla Bolognese alla Toscana uit de oven,"tomaat, kaas, ui, knoflook, gehakt",Chianti,"Droog, Kruidig, Vol",Rood
Spanje,Empanadas Catalana met champignons,"gehakt, ui, paprika",Garnacha,"Fruitig, Rond, Zacht",Rood
Spanje,Merluza a la Plancha Catalana met truffel,"heek, peterselie, citroen",Albariño,"Fris, Aromatisch, Zacht",Wit
Frankrijk,Filet de Sole Traditionnel met champignons,"boter, vis, citroen, peterselie",Chardonnay,"Vol, Romig, Droog",Wit
Spanje,Chorizo al Vino Casera met olijven,"knoflook, chorizo, rode wijn",Tempranillo,"Aards, Vol, Krachtig",Rood
Frankrijk,Coq au Vin de Lyon met truffel,"spekjes, rode wijn, ui",Pinot Noir,"Elegant, Droog, Licht",Rood
Spanje,Albondigas en Salsa del Norte speciale editie,"gehaktballetjes, tomatensaus, ui",Tempranillo,"Aards, Vol, Krachtig",Rood
Spanje,Chorizo al Vino Andaluz met citroen,"rode wijn, chorizo, knoflook",Tempranillo,"Aards, Vol, Krachtig",Rood
Nederland,Haring met Ui van het Huis met champignons,"ui, haring",Riesling,"Zoet, Fris, Aromatisch",Wit
Frankrijk,Magret de Canard Traditionnel met olijven,"eend, rode wijnsaus, aardappelgratin",Syrah,"Krachtig, Kruidig, Stevig",Rood
Spanje,Paella Valenciana de la Casa met kruiden,"kip, saffraan, garnalen, rijst",Tempranillo,"Aards, Vol, Krachtig",Rood
Spanje,Empanadas del Norte uit de oven,"ui, paprika, gehakt",Garnacha,"Fruitig, Rond, Zacht",Rood
Italië,Pasta all’Amatriciana al Forno met saus,"guanciale, tomaat, pecorino",Chianti,"Droog, Kruidig, Vol",Rood
Italië,Fritto Misto Classico speciale editie,"bloem, inktvis, garnalen",Prosecco,"Fris, Mousserend, Licht",Mousserend
Spanje,Pulpo a la Gallega Catalana met saus,"paprika, aardappel, inktvis",Albariño,"Fris, Aromatisch, Zacht",Wit
Spanje,Tortilla Española Casera met roomsaus,"ui, aardappel, ei",Garnacha,"Fruitig, Rond, Zacht",Rood
Spanje,Empanadas Tradicional met kruiden,"gehakt, ui, paprika",Garnacha,"Fruitig, Rond, Zacht",Rood
Italië,Risotto ai Funghi Tradizionale met truffel,"room, rijst, boter, kaas",Pinot Grigio,"Fris, Licht, Droog",Wit
Frankrijk,Canard à l’Orange Régionale uit de oven,"eend, honing, boter, sinaasappel",Pinot Noir,"Elegant, Droog, Licht",Rood
Italië,Pasta all’Amatriciana Rustico met verse groenten,"peper, tomaat, pecorino, guanciale, ui",Chianti,"Droog, Kruidig, Vol",Rood
Nederland,Kipspies met Paprika met Kaas met roomsaus,"kip, paprika, ui",Rosé,"Licht, Fruitig, Fris",Rosé
Italië,Bruschetta al Pomodoro Rustico met saus,"tomaat, basilicum, stokbrood",Prosecco,"Fris, Mousserend, Licht",Mousserend
Spanje,Paella Valenciana del Mar speciale editie,"garnalen, rijst, saffraan",Tempranillo,"Aards, Vol, Krachtig",Rood
Duitsland,Forelle Müllerin vom Grill met citroen,"boter, citroen, forel",Riesling,"Zoet, Fris, Aromatisch",Wit
Spanje,Empanadas de la Casa uit de oven,"ui, paprika, gehakt",Garnacha,"Fruitig, Rond, Zacht",Rood
Duitsland,Bratwurst mit Sauerkraut Hausgemacht met olijven,"aardappel, worst, zuurkool",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Spanje,Tortilla Española Andaluz uit de oven,"aardappel, ui, ei",Garnacha,"Fruitig, Rond, Zacht",Rood
Spanje,Patatas Bravas de la Casa van de chef,"aardappel, tomaat, paprika",Garnacha,"Fruitig, Rond, Zacht",Rood
Nederland,Haring met Ui Ouderwets van de chef,"haring, ui",Riesling,"Zoet, Fris, Aromatisch",Wit
Spanje,Albondigas en Salsa Catalana met verse groenten,"ui, tomatensaus, gehaktballetjes",Tempranillo,"Aards, Vol, Krachtig",Rood
Italië,Bruschetta al Pomodoro del Mare met verse basilicum,"stokbrood, olijfolie, basilicum, tomaat",Prosecco,"Fris, Mousserend, Licht",Mousserend
Italië,Fritto Misto alla Casa speciale editie,"citroen, garnalen, bloem, inktvis",Prosecco,"Fris, Mousserend, Licht",Mousserend
Italië,Spaghetti alle Vongole alla Toscana met truffel,"olijfolie, witte wijn, knoflook, venusschelpen",Pinot Grigio,"Fris, Licht, Droog",Wit
Frankrijk,Coq au Vin Régionale met truffel,"rode wijn, champignons, ui, kip, spekjes",Pinot Noir,"Elegant, Droog, Licht",Rood
Spanje,Pulpo a la Gallega Catalana van de chef,"aardappel, paprika, inktvis",Albariño,"Fris, Aromatisch, Zacht",Wit
Spanje,Albondigas en Salsa Casera met kruiden,"tomatensaus, gehaktballetjes, ui",Tempranillo,"Aards, Vol, Krachtig",Rood
Duitsland,Rinderroulade Hausgemacht van de chef,"rundvlees, mosterd, augurk",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Spanje,Gazpacho Andaluz Andaluz met champignons,"tomaat, olijfolie, knoflook",Albariño,"Fris, Aromatisch, Zacht",Wit
Frankrijk,Entrecôte au Poivre au Vin uit de oven,"peper, room, rundvlees",Syrah,"Krachtig, Kruidig, Stevig",Rood
Frankrijk,Magret de Canard à la Crème speciale editie,"aardappelgratin, eend, rode wijnsaus",Syrah,"Krachtig, Kruidig, Stevig",Rood
Frankrijk,Boeuf Bourguignon Maison met truffel,"wortel, tijm, rundvlees",Pinot Noir,"Elegant, Droog, Licht",Rood
Frankrijk,Boeuf Bourguignon à la Crème met olijven,"ui, rundvlees, tijm",Pinot Noir,"Elegant, Droog, Licht",Rood
Spanje,Patatas Bravas Catalana met verse groenten,"aardappel, paprika, tomaat",Garnacha,"Fruitig, Rond, Zacht",Rood
Spanje,Albondigas en Salsa de la Casa met truffel,"tomatensaus, ui, gehaktballetjes",Tempranillo,"Aards, Vol, Krachtig",Rood
Frankrijk,Quiche Lorraine Provençale van de chef,"eieren, room, spek",Chardonnay,"Vol, Romig, Droog",Wit
Frankrijk,Canard à l’Orange Régionale met citroen,"sinaasappel, boter, eend, honing",Pinot Noir,"Elegant, Droog, Licht",Rood
Spanje,Gazpacho Andaluz Andaluz met citroen,"olijfolie, komkommer, knoflook",Albariño,"Fris, Aromatisch, Zacht",Wit
Duitsland,Forelle Müllerin Rheinisch met citroen,"forel, citroen, boter",Riesling,"Zoet, Fris, Aromatisch",Wit
Spanje,Tortilla Española del Norte met champignons,"ui, aardappel, ei",Garnacha,"Fruitig, Rond, Zacht",Rood
Italië,Tiramisu del Mare met verse basilicum,"koffie, suiker, eieren, mascarpone",Prosecco,"Fris, Mousserend, Licht",Mousserend
Frankrijk,Canard à l’Orange au Vin met truffel,"eend, boter, honing, sinaasappel",Pinot Noir,"Elegant, Droog, Licht",Rood
Nederland,Kipspies met Paprika van het Huis met citroen,"kip, ui, paprika",Rosé,"Licht, Fruitig, Fris",Rosé
Duitsland,Sauerbraten Rheinisch met verse groenten,"ui, azijn, rundvlees",Riesling,"Zoet, Fris, Aromatisch",Wit
Frankrijk,Magret de Canard à la Crème met truffel,"rode wijnsaus, aardappelgratin, eend",Syrah,"Krachtig, Kruidig, Stevig",Rood
Spanje,Empanadas del Mar van de chef,"ui, paprika, gehakt",Garnacha,"Fruitig, Rond, Zacht",Rood
Spanje,Gazpacho Andaluz Casera met kruiden,"olijfolie, tomaat, knoflook",Albariño,"Fris, Aromatisch, Zacht",Wit
Frankrijk,Quiche Lorraine Provençale uit de oven,"room, spek, eieren, kaas",Chardonnay,"Vol, Romig, Droog",Wit
Nederland,Kibbeling met Spekjes met verse groenten,"witvis, beslag, citroen",Riesling,"Zoet, Fris, Aromatisch",Wit
Italië,Tiramisu al Forno met citroen,"mascarpone, koffie, suiker, eieren",Prosecco,"Fris, Mousserend, Licht",Mousserend
Frankrijk,Filet de Sole Provençale met champignons,"boter, peterselie, vis, citroen",Chardonnay,"Vol, Romig, Droog",Wit
Frankrijk,Filet de Sole au Vin met roomsaus,"vis, peterselie, boter, citroen",Chardonnay,"Vol, Romig, Droog",Wit
Italië,Tiramisu al Forno met champignons,"eieren, mascarpone, cacao, suiker",Prosecco,"Fris, Mousserend, Licht",Mousserend
Frankrijk,Poulet à la Crème à la Crème met verse groenten,"kip, boter, room, champignons",Chardonnay,"Vol, Romig, Droog",Wit
Spanje,Empanadas Casera met roomsaus,"gehakt, paprika, ui",Garnacha,"Fruitig, Rond, Zacht",Rood
Nederland,Pannenkoeken met Appel met Kaas van de chef,"melk, bloem, appel",Rosé,"Licht, Fruitig, Fris",Rosé
Italië,Risotto ai Funghi Classico met verse basilicum,"rijst, boter, paddenstoelen, room",Pinot Grigio,"Fris, Licht, Droog",Wit
Spanje,Albondigas en Salsa Andaluz uit de oven,"ui, gehaktballetjes, tomatensaus",Tempranillo,"Aards, Vol, Krachtig",Rood
Frankrijk,Poulet à la Crème Traditionnel met saus,"kip, room, boter",Chardonnay,"Vol, Romig, Droog",Wit
Spanje,Gazpacho Andaluz de la Casa met kruiden,"komkommer, knoflook, tomaat, olijfolie",Albariño,"Fris, Aromatisch, Zacht",Wit
Frankrijk,Cassoulet Provençale met champignons,"bonen, vlees, tomaat",Syrah,"Krachtig, Kruidig, Stevig",Rood
Duitsland,Forelle Müllerin nach Oma’s Rezept met citroen,"forel, boter, citroen",Riesling,"Zoet, Fris, Aromatisch",Wit
Spanje,Patatas Bravas Andaluz met olijven,"paprika, aardappel, tomaat",Garnacha,"Fruitig, Rond, Zacht",Rood
Frankrijk,Magret de Canard Maison met citroen,"eend, rode wijnsaus, aardappelgratin",Syrah,"Krachtig, Kruidig, Stevig",Rood
Spanje,Paella Valenciana de la Casa met roomsaus,"saffraan, rijst, garnalen",Tempranillo,"Aards, Vol, Krachtig",Rood
Frankrijk,Poulet à la Crème Maison met verse groenten,"room, boter, kip",Chardonnay,"Vol, Romig, Droog",Wit
Italië,Tiramisu Classico met champignons,"suiker, koffie, mascarpone, cacao",Prosecco,"Fris, Mousserend, Licht",Mousserend
Italië,Tiramisu del Mare met saus,"cacao, koffie, mascarpone, suiker",Prosecco,"Fris, Mousserend, Licht",Mousserend
Nederland,Pannenkoeken met Appel van het Huis met truffel,"melk, appel, bloem",Rosé,"Licht, Fruitig, Fris",Rosé
Frankrijk,Magret de Canard Maison met roomsaus,"rode wijnsaus, eend, aardappelgratin",Syrah,"Krachtig, Kruidig, Stevig",Rood
Spanje,Pulpo a la Gallega de la Casa met truffel,"paprika, aardappel, inktvis",Albariño,"Fris, Aromatisch, Zacht",Wit
Nederland,Zalm met Dillesaus van het Huis met roomsaus,"citroen, zalm, dille",Rosé,"Licht, Fruitig, Fris",Rosé
Frankrijk,Entrecôte au Poivre Maison met verse basilicum,"peper, room, rundvlees",Syrah,"Krachtig, Kruidig, Stevig",Rood
Frankrijk,Magret de Canard de Lyon met verse basilicum,"rode wijnsaus, eend, aardappelgratin",Syrah,"Krachtig, Kruidig, Stevig",Rood
Duitsland,Bratwurst mit Sauerkraut Klassisch met verse basilicum,"worst, aardappel, zuurkool",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Frankrijk,Coq au Vin Maison met kruiden,"rode wijn, ui, spekjes, champignons",Pinot Noir,"Elegant, Droog, Licht",Rood
Frankrijk,Magret de Canard au Vin met champignons,"eend, rode wijnsaus, aardappelgratin",Syrah,"Krachtig, Kruidig, Stevig",Rood
Italië,Pasta all’Amatriciana Rustico speciale editie,"tomaat, guanciale, ui",Chianti,"Droog, Kruidig, Vol",Rood
Duitsland,Forelle Müllerin Klassisch met champignons,"forel, boter, citroen",Riesling,"Zoet, Fris, Aromatisch",Wit
Frankrijk,Magret de Canard Régionale met citroen,"aardappelgratin, rode wijnsaus, eend",Syrah,"Krachtig, Kruidig, Stevig",Rood
Italië,Fritto Misto del Mare met citroen,"bloem, inktvis, citroen",Prosecco,"Fris, Mousserend, Licht",Mousserend
Duitsland,Rinderroulade Hausgemacht met verse groenten,"mosterd, augurk, rundvlees",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Italië,Tiramisu del Mare met champignons,"cacao, eieren, suiker",Prosecco,"Fris, Mousserend, Licht",Mousserend
Italië,Tiramisu Classico met citroen,"mascarpone, koffie, cacao, eieren",Prosecco,"Fris, Mousserend, Licht",Mousserend
Frankrijk,Filet de Sole Provençale met verse groenten,"citroen, boter, vis",Chardonnay,"Vol, Romig, Droog",Wit
Nederland,Haring met Ui van het Huis met kruiden,"ui, haring",Riesling,"Zoet, Fris, Aromatisch",Wit
Duitsland,Sauerbraten Rheinisch met olijven,"azijn, rundvlees, ui",Riesling,"Zoet, Fris, Aromatisch",Wit
Nederland,Haring met Ui van het Huis met saus,"ui, haring",Riesling,"Zoet, Fris, Aromatisch",Wit
Frankrijk,Magret de Canard Régionale van de chef,"aardappelgratin, eend, rode wijnsaus",Syrah,"Krachtig, Kruidig, Stevig",Rood
Frankrijk,Canard à l’Orange à la Crème met truffel,"sinaasappel, honing, boter",Pinot Noir,"Elegant, Droog, Licht",Rood
Nederland,Pannenkoeken met Appel met Kaas speciale editie,"melk, bloem, appel",Rosé,"Licht, Fruitig, Fris",Rosé
Frankrijk,Poulet à la Crème de Lyon met citroen,"champignons, room, kip, boter",Chardonnay,"Vol, Romig, Droog",Wit
Frankrijk,Quiche Lorraine à la Crème met kruiden,"kaas, room, spek, eieren",Chardonnay,"Vol, Romig, Droog",Wit
Nederland,Pannenkoeken met Appel Ambachtelijk met saus,"appel, melk, bloem",Rosé,"Licht, Fruitig, Fris",Rosé
Frankrijk,Entrecôte au Poivre Provençale met olijven,"room, peper, rundvlees",Syrah,"Krachtig, Kruidig, Stevig",Rood
Frankrijk,Boeuf Bourguignon au Vin met citroen,"rundvlees, rode wijn, ui",Pinot Noir,"Elegant, Droog, Licht",Rood
Spanje,Tortilla Española del Norte met citroen,"ui, aardappel, ei",Garnacha,"Fruitig, Rond, Zacht",Rood
Frankrijk,Canard à l’Orange Provençale met citroen,"honing, sinaasappel, eend, boter",Pinot Noir,"Elegant, Droog, Licht",Rood
Spanje,Gazpacho Andaluz Catalana speciale editie,"knoflook, komkommer, tomaat",Albariño,"Fris, Aromatisch, Zacht",Wit
Spanje,Chorizo al Vino Catalana met saus,"knoflook, chorizo, rode wijn",Tempranillo,"Aards, Vol, Krachtig",Rood
Italië,Insalata Caprese al Forno van de chef,"olijfolie, mozzarella, basilicum",Pinot Grigio,"Fris, Licht, Droog",Wit
Spanje,Pulpo a la Gallega Tradicional speciale editie,"aardappel, inktvis, paprika",Albariño,"Fris, Aromatisch, Zacht",Wit
Duitsland,Sauerbraten Rheinisch met truffel,"azijn, ui, rundvlees",Riesling,"Zoet, Fris, Aromatisch",Wit
Nederland,Kibbeling Ambachtelijk met champignons,"beslag, witvis, citroen",Riesling,"Zoet, Fris, Aromatisch",Wit
Nederland,Zalm met Dillesaus met Kaas uit de oven,"citroen, zalm, dille",Rosé,"Licht, Fruitig, Fris",Rosé
Duitsland,Sauerbraten vom Grill met verse groenten,"rundvlees, ui, azijn",Riesling,"Zoet, Fris, Aromatisch",Wit
Italië,Risotto ai Funghi del Mare uit de oven,"boter, rijst, paddenstoelen, kaas, room",Pinot Grigio,"Fris, Licht, Droog",Wit
Nederland,Haring met Ui Ambachtelijk met verse basilicum,"ui, haring",Riesling,"Zoet, Fris, Aromatisch",Wit
Nederland,Kipspies met Paprika Ambachtelijk uit de oven,"paprika, kip, ui",Rosé,"Licht, Fruitig, Fris",Rosé
Nederland,Asperges met Ham Ambachtelijk met verse groenten,"ham, asperges, boter",Riesling,"Zoet, Fris, Aromatisch",Wit
Nederland,Haring met Ui met Spekjes met olijven,"ui, haring",Riesling,"Zoet, Fris, Aromatisch",Wit
Nederland,Zalm met Dillesaus met Spekjes met saus,"zalm, citroen, dille",Rosé,"Licht, Fruitig, Fris",Rosé
Frankrijk,Cassoulet Maison met verse groenten,"bonen, tomaat, worst, vlees",Syrah,"Krachtig, Kruidig, Stevig",Rood
Frankrijk,Poulet à la Crème Traditionnel met verse basilicum,"champignons, kip, room, boter",Chardonnay,"Vol, Romig, Droog",Wit
Nederland,Asperges met Ham met Spekjes met olijven,"asperges, ham, boter",Riesling,"Zoet, Fris, Aromatisch",Wit
Spanje,Merluza a la Plancha de la Casa met olijven,"peterselie, citroen, heek",Albariño,"Fris, Aromatisch, Zacht",Wit
Italië,Spaghetti alle Vongole Classico met verse basilicum,"witte wijn, olijfolie, knoflook",Pinot Grigio,"Fris, Licht, Droog",Wit
Spanje,Paella Valenciana de la Casa met citroen,"saffraan, garnalen, rijst",Tempranillo,"Aards, Vol, Krachtig",Rood
Frankrijk,Cassoulet au Vin met olijven,"tomaat, vlees, bonen, worst",Syrah,"Krachtig, Kruidig, Stevig",Rood
Frankrijk,Canard à l’Orange Régionale met verse groenten,"sinaasappel, eend, boter",Pinot Noir,"Elegant, Droog, Licht",Rood
Italië,Risotto ai Funghi alla Toscana van de chef,"room, paddenstoelen, rijst, boter, kaas",Pinot Grigio,"Fris, Licht, Droog",Wit
Italië,Risotto ai Funghi del Mare met verse basilicum,"rijst, kaas, boter, room",Pinot Grigio,"Fris, Licht, Droog",Wit
Spanje,Paella Valenciana Tradicional met saus,"kip, saffraan, rijst, garnalen",Tempranillo,"Aards, Vol, Krachtig",Rood
Spanje,Patatas Bravas de la Casa met kruiden,"aardappel, paprika, tomaat",Garnacha,"Fruitig, Rond, Zacht",Rood
Spanje,Tortilla Española del Mar van de chef,"aardappel, ei, ui",Garnacha,"Fruitig, Rond, Zacht",Rood
Duitsland,Rinderroulade Klassisch met saus,"rundvlees, mosterd, augurk",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Spanje,Tortilla Española Casera met citroen,"ui, ei, aardappel",Garnacha,"Fruitig, Rond, Zacht",Rood
Frankrijk,Boeuf Bourguignon au Vin van de chef,"tijm, rode wijn, ui",Pinot Noir,"Elegant, Droog, Licht",Rood
Italië,Fritto Misto Rustico van de chef,"citroen, garnalen, inktvis",Prosecco,"Fris, Mousserend, Licht",Mousserend
Frankrijk,Canard à l’Orange Traditionnel met truffel,"boter, sinaasappel, honing, eend",Pinot Noir,"Elegant, Droog, Licht",Rood
